EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5055319519687,5037835250008,B000NNSXIU,Essential Cycle Dirt's Gone Bike Cleaner 800ml,"Muc-Off 8 in 1 Bicycle Cleaning Kit - Bike Cleaning Kit, Cleaning Bundle for MTB/Road/Gravel Bikes - Set Includes Bike Cleaner and Bike Protect, Black",https://www.poundwholesale.co.uk/bike-cleaner-800ml-dirts-gone,https://www.amazon.co.uk/dp/B000NNSXIU,400.0,,Available (see Keepa data),5.0,0.67,0.5583333333333333,42.5,6.38,4.83,0.55,7.083333333333334,0.11166666666666668,23.53666666666666,6.971666666666668,16.014999999999993,1444.962406015037,12.43,37.682352941176454
7332832001942,,B0C7H6H1XF,Disicide Disinfecting Wet Wipes 100 Pack,"750 Premium Disinfectant Bulk Wipes – Sani Care Antibacterial Wipes for Retail and Travel Industries – Ideal Sanitising & Hygiene for Trolleys, Touch Screens and All Surface Sterilising",https://www.poundwholesale.co.uk/disicide-disinfecting-wet-wipes-100-pack,https://www.amazon.co.uk/dp/B0C7H6H1XF,,,Available (see Keepa data),2.0,0.6,0.5,22.95,2.98,3.48,0.55,3.825,0.1,12.065,3.725,7.79,741.9047619047618,7.61,33.94335511982571
7332832 001706,,B0C7H6H1XF,Uniclean Salon Professional Cleaner Wipes 60 Pack,"750 Premium Disinfectant Bulk Wipes – Sani Care Antibacterial Wipes for Retail and Travel Industries – Ideal Sanitising & Hygiene for Trolleys, Touch Screens and All Surface Sterilising",https://www.poundwholesale.co.uk/uniclean-salon-professional-cleaner-wipes-60-pack,https://www.amazon.co.uk/dp/B0C7H6H1XF,,,Available (see Keepa data),2.0,0.6,0.5,22.95,2.98,3.48,0.55,3.825,0.1,12.065,3.725,7.79,741.9047619047618,7.61,33.94335511982571
5055319519663,5060734120608,B082S459Z2,Path & Patio Cleaner Trigger Spray 800ml,Floorseal Patio Cleaner Plus (5 Litre),https://www.poundwholesale.co.uk/path-patio-cleaner-800ml-ready-to-use,https://www.amazon.co.uk/dp/B082S459Z2,,,,1.0,0.67,0.5583333333333333,26.95,4.04,5.57,0.55,4.491666666666667,0.11166666666666668,12.178333333333333,4.380000000000001,7.248333333333332,653.9849624060149,10.830000000000002,26.89548546691404
8001841920139,8700216724968,B0DT9PMDGV,Flash All Purpose Sugarplum Delight Cleaning Spray 730ml,"Lenor Outdoorable Fabric Conditioner 480 Washes (8x60), Spring Awakening - Ultra Concentrated Freshness",https://www.poundwholesale.co.uk/flash-all-purpose-sugarplum-delight-cleaning-spray-730ml,https://www.amazon.co.uk/dp/B0DT9PMDGV,,,Available (see Keepa data),2.0,1.25,1.0416666666666667,32.0,4.16,5.57,0.55,5.333333333333334,0.20833333333333334,15.686666666666667,5.125000000000001,10.011666666666667,629.0052356020942,11.530000000000001,31.286458333333332
5055319557047,,B0035AAUH0,Liquid Silver Polish 180ml,Quickshine Silver Bath,https://www.poundwholesale.co.uk/liquid-silver-polish-180ml,https://www.amazon.co.uk/dp/B0035AAUH0,,Available (see Keepa data),,1.0,0.67,0.5583333333333333,19.95,2.59,2.94,0.55,3.325,0.11166666666666668,10.424999999999999,3.2133333333333334,6.661666666666666,601.0526315789473,6.749999999999999,33.39181286549707
5050375010819/5053249206844,,B0B5HR29Z3,Duzzit Floor Wipes 24pk Pallet Deal,"Gymitize Biodegradable Gym Wipes, Surface Wipes, Antibacterial, 100% Biodegradable, Made in the UK, 100% Plant Fibre, 0% Plastic, 500 Refills Per Pack, (1 Pack)",https://www.poundwholesale.co.uk/duzzit-floor-wipes-24pk-pallet-deal,https://www.amazon.co.uk/dp/B0B5HR29Z3,,,Available (see Keepa data),1.0,0.66,0.55,18.99,2.8484999999999996,2.8,0.55,3.165,0.11000000000000001,9.5165,3.055,5.911500000000001,537.409090909091,6.858499999999999,31.129541864139025
05060110227273,,B0F3CQL9JD,Greenshield Anti-Bacterial Food Surface Wipes 70 Pack Pallet Deal,"Easyclean Antibacterial Biodegradable Disinfectant Wipes, 8 Pack of 80 (640 Wipes) Citrus Zest & Lemon Fragrance, Effective Mould Mildew Remover, Ideal For Home Cleaning & Multi-Surface Use",https://www.poundwholesale.co.uk/greenshield-anti-bacterial-food-surface-wipes-70-pack-pallet-deal,https://www.amazon.co.uk/dp/B0F3CQL9JD,,,Available (see Keepa data),1.0,0.62,0.5166666666666667,15.99,2.3985,2.8,0.55,2.6650000000000005,0.10333333333333333,7.506499999999998,2.561666666666667,4.394833333333332,412.01562499999983,6.3685,27.484886387325403
5050375041400,5011417801147,B0CW1ZJPVR,Duzzit UPVC Wipes 50 Pack,"Dettol Antibacterial Multi Surface Cleaning Wipes, Crisp Pear, 50 Pack (7 x 50, Total 350 Wipes) Biodegradable, Plant-Based Active Ingredients, Household Disinfectant, Kills 99.9 Percent of Germs",https://www.poundwholesale.co.uk/upvc-wipes-50pk,https://www.amazon.co.uk/dp/B0CW1ZJPVR,400.0,,Available (see Keepa data),3.0,0.58,0.48333333333333334,18.07,2.35,4.58,0.55,3.011666666666667,0.09666666666666666,7.548333333333334,2.9150000000000005,4.083333333333333,395.16129032258056,8.06,22.59730676996864
5055319510769,5060938735714,B0CRW18HWD,Home & Garden Multi-Purpose White Vinegar Cleaning Spray 500ml,"Goldden Swaan White Vinegar - 5 Litre (Pack of 4) | Multi Purpose Use | Perfect For Cleaning, Pickling, Marinating & Cooking | Distilled White Vinegar",https://www.poundwholesale.co.uk/home-garden-multi-purpose-white-vinegar-cleaning-spray-500ml,https://www.amazon.co.uk/dp/B0CRW18HWD,,,,1.0,0.84,0.7,16.99,2.5484999999999998,2.8,0.55,2.8316666666666666,0.14,7.96983333333333,2.6916666666666664,4.728166666666664,378.2533333333331,6.738499999999999,27.82911516578378
04015600602062,5056822000778,B0FF21591B,Flash Ultra Power Multi-Surface Concentrate Lemon 400ml,"HOCHSTE® Flash Professional All Purpose Cleaner, Lemon Scent, Commercial Grade Multi-Surface Cleaning Solution, Heavy Duty Degreaser for Kitchens, Offices, Floors, Bathrooms, Industrial Use, 5L",https://www.poundwholesale.co.uk/flash-ultra-power-multi-surface-concentrate-lemon-400ml,https://www.amazon.co.uk/dp/B0FF21591B,,,Available (see Keepa data),1.0,0.75,0.625,18.99,2.47,5.19,0.55,3.165,0.12500000000000003,7.414999999999999,3.04,3.8249999999999993,325.53191489361694,8.96,20.142180094786728
5055319510417,5060914415340,B0BT27GKNW,Home & Garden Stove Polish Fireplace Restorer 200ml,"Furniture Clinic Stove Restorer - Restores The Natural Matt Black Colour on Log Burners, Grates, & Fireplaces. Works Like a Polish - 250ml",https://www.poundwholesale.co.uk/home-garden-stove-polish-fireplace-restorer-200ml,https://www.amazon.co.uk/dp/B0BT27GKNW,500.0,,,1.0,0.79,0.6583333333333334,14.99,1.95,3.0,0.55,2.4983333333333335,0.1316666666666667,6.751666666666668,2.3666666666666667,3.8350000000000017,317.3793103448277,6.29,25.583722481654448
48256291063,,B0CZJRPXD5,Astonish Antibacterial Surface Cleanser Spray 750ml,"Astonish Specialist Extra Strength Mould & Mildew Stain Blaster Spray, for Fast Mould Removal, 750ml. Paired with Crevice cleaning brush for those hard to reach places",https://www.poundwholesale.co.uk/astonish-antibacterial-surface-cleanser-spray-750ml,https://www.amazon.co.uk/dp/B0CZJRPXD5,,Available (see Keepa data),,1.0,0.6,0.5,12.99,1.69,2.94,0.55,2.1650000000000005,0.1,5.595000000000001,2.0650000000000004,2.9800000000000004,283.8095238095238,5.78,22.940723633564282
48256219265,,B0CZJRPXD5,Astonish Fabric Refresher Spray 750ml,"Astonish Specialist Extra Strength Mould & Mildew Stain Blaster Spray, for Fast Mould Removal, 750ml. Paired with Crevice cleaning brush for those hard to reach places",https://www.poundwholesale.co.uk/astonish-fabric-refresher-spray-750ml,https://www.amazon.co.uk/dp/B0CZJRPXD5,,Available (see Keepa data),,1.0,0.6,0.5,12.99,1.69,2.94,0.55,2.1650000000000005,0.1,5.595000000000001,2.0650000000000004,2.9800000000000004,283.8095238095238,5.78,22.940723633564282
5053249275529,5061059760036,B0D5VPRP5Z,Duzzit Baking Soda Odour Buster 2 Pack,"Cleaning Supplies Bundle: Baking Soda and White Vinegar for Cleaning - Includes 2 x Duzzit Baking Soda 350g, Dri Pak Pure White Vinegar Cleaning Spray, Microfibre Cloth, and Yellow Cleaning Gloves",https://www.poundwholesale.co.uk/duzzit-baking-soda-odour-buster-2-pack,https://www.amazon.co.uk/dp/B0D5VPRP5Z,,Available (see Keepa data),,1.0,0.71,0.5916666666666667,13.99,1.82,3.25,0.55,2.331666666666667,0.11833333333333333,5.878333333333333,2.213333333333334,3.1149999999999993,272.8467153284671,6.33,22.265904217298065
5025416331024,5025416331024,B0866CNWMH,Dr Johnson's Antiseptic Disinfectant 500ml,"Dr. Johnson's Original Antiseptic Disinfectant, 500ml Bottles | 6 Pack | 99.9% Effective | Click ‘Customise Now’ for More Bulk Buy Options!",https://www.poundwholesale.co.uk/dr-johnson-s-antiseptic-disinfectant-500ml,https://www.amazon.co.uk/dp/B0866CNWMH,,,Available (see Keepa data),1.0,0.52,0.43333333333333335,11.99,1.8,2.94,0.55,1.9983333333333335,0.08666666666666668,4.731666666666667,1.9116666666666668,2.2700000000000005,230.84745762711867,5.81,18.93244370308591
48256219456,0633710319829,B0BJK9GFG1,Astonish Multi-Purpose Cleaner With Bleach Spray 750ml,"Bower Collective Natural Limescale Remover Spray Refill, Powerful Bathroom Cleaner & Shower Screen Cleaner, Daily Multi Surface Cleaner for Taps, Sinks & Toilets, 1 Litre",https://www.poundwholesale.co.uk/astonish-multi-purpose-cleaner-with-bleach-spray-750ml,https://www.amazon.co.uk/dp/B0BJK9GFG1,,Available (see Keepa data),,1.0,0.6,0.5,11.99,1.56,3.05,0.55,1.9983333333333335,0.1,4.781666666666666,1.8983333333333334,2.333333333333333,222.2222222222222,5.76,19.460661662496523
5055319555845,0071099072841,B00KOCV48Q,Fresh & Bright Liquid Metal Polish 180ml,"'Mr. Metal Metal Polish Liquid, Non-Abrasive, Multipurpose for Sterling Silver, Brass, Stainless Steel, Chrome and Silver, Grime and Tarnish Remover'",https://www.poundwholesale.co.uk/liquid-metal-polish-180ml,https://www.amazon.co.uk/dp/B00KOCV48Q,,Available (see Keepa data),Available (see Keepa data),2.0,0.67,0.5583333333333333,11.5,1.5,2.72,0.55,1.916666666666667,0.11166666666666668,4.6933333333333325,1.8050000000000004,2.338333333333332,210.97744360902243,5.44,20.33333333333332
5011309074017,5061016605127,B0D5MM4JBJ,Zoflora Fresh Home Green Valley Odour Remover & Disinfectant 500ml,One Chem Professional - Pine Fresh Disinfectant - 2 x 5L Concentrate - Multi-pack,https://www.poundwholesale.co.uk/zoflora-fresh-home-green-valley-odour-remover-disinfectant-500ml,https://www.amazon.co.uk/dp/B0D5MM4JBJ,,,Available (see Keepa data),1.0,2.05,1.7083333333333333,16.99,2.5484999999999998,2.8,0.55,2.8316666666666666,0.3416666666666667,6.75983333333333,2.4899999999999998,3.719833333333331,164.71586715867147,7.948499999999999,21.894251520502245
5053249262260,5060777040208,B09NLBR831,Bin Brite Berry Blast Stick On Bin Freshener 2 Pack,"Trash Ninja Bin Deodoriser (2 Pack) - Bin Freshener and Odour Eliminator Made with Activated Carbon, Bin Deodoriser and Freshener, Stick On Air Freshener for Bins, Unscented Bin Smell Eliminator",https://www.poundwholesale.co.uk/bin-brite-berry-blast-stick-on-bin-freshener-2-pack,https://www.amazon.co.uk/dp/B09NLBR831,,Available (see Keepa data),,1.0,0.71,0.5916666666666667,8.99,1.5,1.52,0.55,1.4983333333333335,0.11833333333333333,3.7616666666666676,1.3800000000000001,1.8316666666666677,160.43795620437967,4.28,20.374490174267716
5053249262246,5060777040208,B09NLBR831,Bin Brite Citronella & Lemongrass Stick-On Bin Freshener 2 Pack,"Trash Ninja Bin Deodoriser (2 Pack) - Bin Freshener and Odour Eliminator Made with Activated Carbon, Bin Deodoriser and Freshener, Stick On Air Freshener for Bins, Unscented Bin Smell Eliminator",https://www.poundwholesale.co.uk/bin-brite-citronella-lemongrass-stick-on-bin-freshener-2-pack,https://www.amazon.co.uk/dp/B09NLBR831,,Available (see Keepa data),,1.0,0.71,0.5916666666666667,8.99,1.5,1.52,0.55,1.4983333333333335,0.11833333333333333,3.7616666666666676,1.3800000000000001,1.8316666666666677,160.43795620437967,4.28,20.374490174267716
5053249262260 5053249262246,5060777040208,B09NLBR831,Bin Brite Berry Blast & Citronella Stick-On Bin Freshener CDU Mixed,"Trash Ninja Bin Deodoriser (2 Pack) - Bin Freshener and Odour Eliminator Made with Activated Carbon, Bin Deodoriser and Freshener, Stick On Air Freshener for Bins, Unscented Bin Smell Eliminator",https://www.poundwholesale.co.uk/bin-brite-berry-blast-citronella-stick-on-bin-freshener-cdu-mixed,https://www.amazon.co.uk/dp/B09NLBR831,,Available (see Keepa data),,1.0,0.71,0.5916666666666667,8.99,1.5,1.52,0.55,1.4983333333333335,0.11833333333333333,3.7616666666666676,1.3800000000000001,1.8316666666666677,160.43795620437967,4.28,20.374490174267716
48256214161,5011962992024,B0BTTCMBYB,Astonish 4-In-1 Germ Clear Disinfectant Spray 750ml,"Fabulosa 4 in 1 Concentrated Antibacterial Disinfectant All Purpose Cleaner, 220ml, 12 pack, Bliss Baby Powder",https://www.poundwholesale.co.uk/astonish-4-in-1-germ-clear-disinfectant-spray-750ml,https://www.amazon.co.uk/dp/B0BTTCMBYB,,,,1.0,0.6,0.5,14.56,1.89,5.1,0.55,2.426666666666667,0.1,4.543333333333333,2.326666666666667,1.6666666666666659,158.73015873015865,8.14,11.446886446886442
5053249271255,5060777040208,B09NLBR831,Bin Brite Mediterranean Sun Bin Odour Neutraliser Spray 400ml,"Trash Ninja Bin Deodoriser (2 Pack) - Bin Freshener and Odour Eliminator Made with Activated Carbon, Bin Deodoriser and Freshener, Stick On Air Freshener for Bins, Unscented Bin Smell Eliminator",https://www.poundwholesale.co.uk/bin-brite-mediterranean-sun-bin-odour-neutraliser-spray-400ml,https://www.amazon.co.uk/dp/B09NLBR831,,Available (see Keepa data),,1.0,1.02,0.8500000000000001,8.99,1.5,1.52,0.55,1.4983333333333335,0.17,3.4516666666666675,1.3283333333333336,1.573333333333334,112.38095238095241,4.59,17.500926955876906
5025416997558,5011417777466,B07HP8RMQZ,Liquid Power Anti-Bacterial Citrus Lemon Multi-Purpose Cleaner 750ml,"Dettol Antibacterial Multi Surface Cleaner Spray, Lemon & Lime, 6-Pack (6 x 1L), Total 6L, Kitchen Disinfectant, Household Cleaning Solution, Germ Protection, Fresh Scent",https://www.poundwholesale.co.uk/liquid-power-anti-bacterial-citrus-lemon-multi-purpose-cleaner-750ml,https://www.amazon.co.uk/dp/B07HP8RMQZ,,,Available (see Keepa data),9.0,0.95,0.7916666666666666,15.0,1.95,5.57,0.55,2.5,0.15833333333333335,4.03,2.341666666666667,1.1383333333333334,84.84472049689441,9.020000000000001,7.5888888888888895
