EAN,EAN_OnPage,ASIN,Title,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5056239427625,5702017817651,B0DHSG5LF6,Jiating Cotton Mop Head With Galvanised Socket,https://www.clearance-king.co.uk/cotton-mop-head-with-plastic-socket-1.html,https://www.amazon.co.uk/dp/B0DHSG5LF6,200,,Available (see Keepa data),22,0.67,0.558333333,85.98,71.65,12.9,4.73,14.33,0.111666667,54.02,14.21833333,39.30166667,70.39104478,18.8,0.548522912
5391534082491,5908226955447,B00KM2Z7ZE,Homewares+ Shoe Polish - Black,https://www.clearance-king.co.uk/crosby-black-tin-wax-shoe-polish-50ml-2.html,https://www.amazon.co.uk/dp/B00KM2Z7ZE,200,Available (see Keepa data),Available (see Keepa data),2,0.62,0.516666667,8.99,7.491666667,1.35,2.65,1.498333333,0.103333333,3.491666667,1.395,1.596666667,3.090322581,5.12,0.213125695
5391542653386,5038580069914,B01AWIIKHY,Carlingford Nightlight Candles - Lavender - Pack of 20,https://www.clearance-king.co.uk/carlingford-superb-quality-night-light-candles-jasmine-pack-of-42.html,https://www.amazon.co.uk/dp/B01AWIIKHY,200,Available (see Keepa data),Available (see Keepa data),10,1.87,1.558333333,24.89,20.74166667,3.73,3.26,4.148333333,0.311666667,13.75166667,3.836666667,9.415,6.04171123,9.36,0.453917236
5391534082491,5908226955447,B00KM2Z7ZE,Homewares+ Shoe Polish - Black,https://www.clearance-king.co.uk/crosby-black-tin-wax-shoe-polish-50ml-2.html,https://www.amazon.co.uk/dp/B00KM2Z7ZE,200,Available (see Keepa data),Available (see Keepa data),2,0.62,0.516666667,8.99,7.491666667,1.35,2.65,1.498333333,0.103333333,3.491666667,1.395,1.596666667,3.090322581,5.12,0.213125695
5050375947849,,B0BYJ5LCWV,PEST SHIELD EXTRA STRENGTH MOUSE GLUE TRAPS - PACK OF 3,https://www.clearance-king.co.uk/3pk-mouse-trap-glue-boards-0-24-ck.html,https://www.amazon.co.uk/dp/B0BYJ5LCWV,100,Available (see Keepa data),,1,0.4,0.333333333,9.99,8.325,0.7,2.94,1.665,0.066666667,4.685,1.598333333,2.586666667,7.76,4.54,0.310710711
5391536748258,5060914416071,B0C9MYV1VG,Homewares+ Shoe Polish - Brown,https://www.clearance-king.co.uk/crosby-black-tin-wax-shoe-polish-50ml-1.html,https://www.amazon.co.uk/dp/B0C9MYV1VG,,,,2,0.62,0.516666667,9.99,8.325,1.5,2.42,1.665,0.103333333,4.405,1.561666667,2.343333333,4.535483871,5.04,0.281481481
5060226063390,5016646097699,B0DBHQNTR4,Pets That Play - Premium Pet Bowl - 13.5cm x 5cm - 1 Pint,https://www.clearance-king.co.uk/flat-carcle-duck-6-96-ck-1.html,https://www.amazon.co.uk/dp/B0DBHQNTR4,,,Available (see Keepa data),1,0.62,0.516666667,8.79,7.325,1.32,3.05,1.465,0.103333333,2.955,1.361666667,1.093333333,2.116129032,5.49,0.149260523
5036905007146,5036905007146,B07VGKSRMN,Waddingtons Of London Number 1 Playing Cards,https://www.clearance-king.co.uk/endangered-species-playing-cards-assorted-1.html,https://www.amazon.co.uk/dp/B07VGKSRMN,,Available (see Keepa data),Available (see Keepa data),9,0.92,0.766666667,2.99,2.491666667,0.45,1.7,0.498333333,0.153333333,0.341666667,0.345,-0.503333333,-0.656521739,3.57,-0.202006689
5011397083236,,B0BMB6RRKP,Light-Up Meteor Ball - Assorted Colours,https://www.clearance-king.co.uk/5-pack-bouncy-balls-1.html,https://www.amazon.co.uk/dp/B0BMB6RRKP,,Available (see Keepa data),,2,0.57,0.475,29.99,24.99166667,4.5,3.1,4.998333333,0.095,17.39166667,4.903333333,11.98833333,25.23859649,8.67,0.479693231
8698532591220,9343243008916,B089MZB9QZ,Titiz Coffee Cup - Designs May Vary - 400ml,https://www.clearance-king.co.uk/plastart-reuseable-coffee-cup-designs-may-vary-1.html,https://www.amazon.co.uk/dp/B089MZB9QZ,,,Available (see Keepa data),3,0.54,0.45,21.95,18.29166667,3.29,3,3.658333333,0.09,12.00166667,3.568333333,7.933333333,17.62962963,7.33,0.433712984
