EAN,EAN_OnPage,ASIN,Title,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
AT0126,4894379331911,B00UT4FVRE,AMERICAN TOUCH BODY CREAM - CARROT - 300ML,https://www.clearance-king.co.uk/at-300ml-body-cream-carrot-0-12-ck.html,https://www.amazon.co.uk/dp/B00UT4FVRE,,,Available (see Keepa data),1.0,0.6,0.5,3826.69,3188.9083333333333,214.16,3.05,637.7816666666668,0.1,2971.6983333333333,637.6816666666667,2333.5166666666664,4667.033333333333,218.31,0.7317603464090375
4020-08,8593410711731,B00E1OU1U0,GIFT BAG WITH ROPE HANDLE PURPLE,https://www.clearance-king.co.uk/gift-bag-with-rope-handle-purple.html,https://www.amazon.co.uk/dp/B00E1OU1U0,,,Available (see Keepa data),1.0,0.35,0.2916666666666667,99.95,83.29166666666667,14.9925,2.8,16.658333333333335,0.05833333333333333,65.49916666666668,16.6,48.39916666666668,165.94000000000003,18.6425,0.5810805402701352
4020-07,,B00NJ6CHTY,GIFT BAG WITH ROPE HANDLE RED,https://www.clearance-king.co.uk/gift-bag-with-rope-handle-red.html,https://www.amazon.co.uk/dp/B00NJ6CHTY,,,,,0.35,0.2916666666666667,99.95,83.29166666666667,14.9925,2.8,16.658333333333335,0.05833333333333333,65.49916666666668,16.6,48.39916666666668,165.94000000000003,18.6425,0.5810805402701352
,0810087977566,B0BGJVCSVX,OPAL LONDON THREE ARM MASSAGER,https://www.clearance-king.co.uk/opal-london-three-arm-massager.html,https://www.amazon.co.uk/dp/B0BGJVCSVX,,Available (see Keepa data),,1.0,0.38,0.3166666666666667,110.0,91.66666666666667,16.5,4.83,18.333333333333336,0.06333333333333335,70.33666666666667,18.270000000000003,51.56666666666667,162.8421052631579,22.21,0.5625454545454546
,,B07D7B3WPQ,Glamorize Advanced Creme Colour Permanent Hair Dye - Shade 7 - Red Chilli - Exp: 07/24,https://www.clearance-king.co.uk/permanent-hair-dye-shade-7-red-chilli-0-24-ck.html,https://www.amazon.co.uk/dp/B07D7B3WPQ,,,,,0.25,0.20833333333333334,45.0,37.5,6.75,2.8,7.5,0.04166666666666667,27.950000000000003,7.458333333333333,19.99166666666667,95.96000000000002,10.3,0.5331111111111112
,5060850672081,B0DLPDS56Y,VITA /LIBERATA ORGANIC TAN INFUSED FACE & BODY CLOTH PACK OF 2,https://www.clearance-king.co.uk/2pk-organic-tan-infused-cloth-vita.html,https://www.amazon.co.uk/dp/B0DLPDS56Y,,Available (see Keepa data),,1.0,0.2,0.16666666666666669,35.0,29.166666666666668,5.25,2.94,5.833333333333334,0.03333333333333334,20.976666666666667,5.800000000000001,14.676666666666666,88.05999999999999,8.89,0.5032
8697415311719,5702017829241,B0DWF6XWX3,COSMETIC BRUSH WITH LID,https://www.clearance-king.co.uk/cosmetic-brush-with-lid-12-240.html,https://www.amazon.co.uk/dp/B0DWF6XWX3,,,Available (see Keepa data),14.0,0.5,0.4166666666666667,59.99,49.99166666666667,9.0,3.05,9.998333333333335,0.08333333333333334,37.94166666666667,9.915000000000001,27.52666666666667,66.06400000000001,13.05,0.5506251041840308
AN0011,,B007ZBP0RK,ORGANIC TAN INFUSED CLOTH VITA PACK OF 2 - 9 ML,https://www.clearance-king.co.uk/2pk-organic-tan-infused-cloth-vita-loose.html,https://www.amazon.co.uk/dp/B007ZBP0RK,50.0,,,,0.2,0.16666666666666669,26.99,22.491666666666667,4.0485,2.8,4.498333333333333,0.03333333333333334,15.643166666666664,4.465,10.678166666666664,64.06899999999997,7.5485,0.4747610226009632
,5060700360267,B08P4R44G1,FOOT FILE WITH HANDLE BLUE,https://www.clearance-king.co.uk/foot-file-with-handle-blue.html,https://www.amazon.co.uk/dp/B08P4R44G1,,Available (see Keepa data),,1.0,0.44,0.3666666666666667,31.99,26.65833333333333,4.8,3.04,5.331666666666667,0.07333333333333335,18.81833333333333,5.258333333333334,13.059999999999999,35.61818181818181,8.780000000000001,0.4899030947170991
5031413923490,5061064060305,B0F28LVPL8,Face Facts Printed Sheet Mask - Pretty Peach & Cheeky Cherry - 20ml - EXP: 01/24,https://www.clearance-king.co.uk/face-facts-printed-sheet-mask-pretty-peach-cheeky-cherry-20ml.html,https://www.amazon.co.uk/dp/B0F28LVPL8,,Available (see Keepa data),,1.0,0.25,0.20833333333333334,18.39,15.325000000000001,2.75,2.94,3.0650000000000004,0.04166666666666667,9.635000000000002,3.023333333333334,6.111666666666668,29.336000000000006,6.4399999999999995,0.39880369766177276
10544342,0810050404938,B0D4Y3L1CV,MIXED GREETING CARDS FOR DIFFERENT OCASSIONS,https://www.clearance-king.co.uk/mixed-cards-nbc-342.html,https://www.amazon.co.uk/dp/B0D4Y3L1CV,400.0,Available (see Keepa data),,1.0,0.12,0.1,8.99,7.491666666666667,1.35,1.87,1.4983333333333335,0.02,4.2716666666666665,1.4783333333333335,2.293333333333333,22.93333333333333,3.8400000000000003,0.30611790878754164
,6242281351813,B08354XF38,Rysons Weed Control Fabric,https://www.clearance-king.co.uk/rysons-weed-control-fabric.html,https://www.amazon.co.uk/dp/B08354XF38,100.0,Available (see Keepa data),Available (see Keepa data),2.0,0.99,0.8250000000000001,45.03,37.525000000000006,6.75,6.3,7.505000000000001,0.165,24.475,7.340000000000001,16.635,20.163636363636364,14.54,0.44330446369087273
049022821095,0820103846370,B00YTZ2S0M,STUDIO 35 BEAUTY FASHION COMPACT MIRROR,https://www.clearance-king.co.uk/studio-35-beauty-fashion-compact-mirror.html,https://www.amazon.co.uk/dp/B00YTZ2S0M,50.0,Available (see Keepa data),,7.0,0.48,0.4,21.99,18.325,3.3,3.26,3.665,0.08,11.764999999999997,3.585,7.679999999999996,19.19999999999999,7.539999999999999,0.41909959072305575
