EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
9780007258352,,B01B98DQLQ,THE CHRONICLES OF NARNIA: PRINCE CASPIAN- MOVIE STORYBOOK,"Prince Caspian: The Movie Storybook by Lana Jacobs (March 24,2008)",https://www.clearance-king.co.uk/the-chronicles-of-narnia-prince-caspian-movie-storybook.html,https://www.amazon.co.uk/dp/B01B98DQLQ,,,Available (see Keepa data),2.0,0.44,0.3666666666666667,78.02,11.7,2.16,0.55,13.003333333333334,0.07333333333333335,51.156666666666666,12.93,37.67666666666667,4110.181818181818,14.85,48.29103648637102
5056175922239,,B07D7B3WPQ,Glamorize Advanced Creme Colour Permanent Hair Dye - Shade 7 - Red Chilli - Exp: 07/24,Glamorise MagicLift Minimizer Wirefree Bra 1003 (Women's & Women's Plus),https://www.clearance-king.co.uk/permanent-hair-dye-shade-7-red-chilli-0-24-ck.html,https://www.amazon.co.uk/dp/B07D7B3WPQ,,,,,0.25,0.20833333333333334,45.0,6.75,2.8,0.55,7.5,0.04166666666666667,27.950000000000003,7.458333333333333,19.94166666666667,2629.67032967033,10.350000000000001,44.314814814814824
5011397083236,,B0BMB6RRKP,Light-Up Meteor Ball - Assorted Colours,Juggling Balls LED 3-Piece Set - Cool Luminous Juggling Set for Beginners and Professionals | Perfect Juggling Balls for an Effective show for Children and Adults | Rainbow Colors and Strobe Effect,https://www.clearance-king.co.uk/5-pack-bouncy-balls-1.html,https://www.amazon.co.uk/dp/B0BMB6RRKP,,Available (see Keepa data),,2.0,0.57,0.475,29.99,4.5,3.1,0.55,4.998333333333334,0.095,17.391666666666662,4.903333333333334,11.938333333333327,1164.7154471544711,8.72,39.807713682338544
5031413923490,5061064060305,B0F28LVPL8,Face Facts Printed Sheet Mask - Pretty Peach & Cheeky Cherry - 20ml - EXP: 01/24,"Face Facts Cherry Bliss Skin Care Set- Glow Mist 80ml, Brightening Toner 140ml, Niacinamide Serum 30ml, Hydro Cream 45ml & Satin Scrunchie | Hydrated & Glowing Skin Care for Teenage Girls & Women",https://www.clearance-king.co.uk/face-facts-printed-sheet-mask-pretty-peach-cheeky-cherry-20ml.html,https://www.amazon.co.uk/dp/B0F28LVPL8,,Available (see Keepa data),,1.0,0.25,0.20833333333333334,18.39,2.75,2.94,0.55,3.0650000000000004,0.04166666666666667,9.635000000000002,3.023333333333334,6.061666666666668,799.3406593406594,6.489999999999999,32.96175457676274
BZCT-5GR-5,5060323930960,B00EOTHDWQ,Babz Grey CAT 5E UTP Cable - 5M,MutecPower 50m CAT6 Outdoor waterproof Direct Burial Ethernet Network Cable - UTP - CCA - 550 Mhz - Black 50 meter,https://www.clearance-king.co.uk/daewoo-tv-to-video-lead-plug-to-socket-male-to-female-2-metres-12.html,https://www.amazon.co.uk/dp/B00EOTHDWQ,500.0,Available (see Keepa data),,1.0,1.04,0.8666666666666667,23.99,3.6,3.25,0.55,3.9983333333333335,0.17333333333333337,13.141666666666664,3.825,8.766666666666662,618.8235294117644,8.440000000000001,36.5430040294567
9780863888212,9780863888212,0863888216,PLAY BETTER GAMES SPIRAL BOOK,Play Better Games: Enabling Children with Autism to Join in with Everyday Games,https://www.clearance-king.co.uk/play-better-games-spiral-book.html,https://www.amazon.co.uk/dp/0863888216,,,Available (see Keepa data),13.0,5.5,4.583333333333334,48.99,6.68,2.72,0.55,8.165000000000003,0.9166666666666667,31.425,7.248333333333336,23.626666666666665,460.25974025974017,15.450000000000001,48.22752942777437
9780863883132,9780863883132,0863883133,THE REMINISCENCE SKILLS TRAINING HAND BOOK,The Reminiscence Skills Training Handbook (Speechmark Practical Resource),https://www.clearance-king.co.uk/the-reminiscence-skills-training-hand-book.html,https://www.amazon.co.uk/dp/0863883133,,,Available (see Keepa data),8.0,5.5,4.583333333333334,49.36,7.4,2.72,0.55,8.226666666666667,0.9166666666666667,31.013333333333335,7.31,23.153333333333336,451.0389610389611,16.17,46.90707725553756
5391542653386,5038580069914,B01AWIIKHY,Carlingford Nightlight Candles - Lavender - Pack of 20,Yankee Candle Scented Candle | Vanilla Large Jar | Long Burning Candles: up to 150 Hours | Perfect Mothers Day and Easter Gifts for Women,https://www.clearance-king.co.uk/carlingford-superb-quality-night-light-candles-jasmine-pack-of-42.html,https://www.amazon.co.uk/dp/B01AWIIKHY,200.0,Available (see Keepa data),Available (see Keepa data),10.0,1.87,1.5583333333333336,24.89,3.73,3.26,0.55,4.148333333333334,0.3116666666666667,13.751666666666665,3.836666666666668,9.364999999999997,444.1897233201579,9.41,37.625552430695045
9780863888120,9780863888120,0863888127,DEMENTIA CARE THE ADAPTIVE RESPONSE BOOK,Dementia Care - The Adaptive Response: A Stress Reductionist Approach,https://www.clearance-king.co.uk/dementia-care-the-adaptive-response-book.html,https://www.amazon.co.uk/dp/0863888127,,,Available (see Keepa data),16.0,6.6,5.5,40.99,6.15,2.72,0.55,6.831666666666667,1.1,25.288333333333338,5.731666666666667,19.00666666666667,314.1597796143252,16.02,46.36903309750346
5050375947849,,B0BYJ5LCWV,PEST SHIELD EXTRA STRENGTH MOUSE GLUE TRAPS - PACK OF 3,Sticky Traps Pest Trap Pads Board - Large Extra Strong Sticky Trap for Multiple Insects in Indoor Outdoor Home Kitchen Garden Garage Commercial Home (A. 5 Pcs),https://www.clearance-king.co.uk/3pk-mouse-trap-glue-boards-0-24-ck.html,https://www.amazon.co.uk/dp/B0BYJ5LCWV,100.0,Available (see Keepa data),,1.0,0.48,0.4,9.99,0.7,2.94,0.55,1.6650000000000003,0.08,4.685000000000001,1.5850000000000002,2.5500000000000016,268.42105263157913,4.67,25.525525525525538
