Rank,Opportunity_Tier,Main_Category,Sub_Category,URL,Rationale
1,1,"Cleaning","Multi-Purpose Cleaners","https://www.poundwholesale.co.uk/cleaning/multi-purpose-cleaners","Viral 'cult' brand potential, high recurring demand, ideal for multi-packs/bundles."
2,1,"Cleaning","Sponges, Scourers & Cloths","https://www.poundwholesale.co.uk/cleaning/sponges-scourers-cloths","Perfect high-margin add-on for cleaning bundles, low cost, consumable."
3,1,"Health & Beauty","Dental","https://www.poundwholesale.co.uk/health-beauty/dental","High consumer demand driven by healthcare gaps, strong brand recognition, consumable."
4,1,"Health & Beauty","Teeth Whitening","https://www.poundwholesale.co.uk/health-beauty/teeth-whitening","High-demand, high-margin cosmetic niche with strong online trend performance."
5,1,"Toys","Slime & Squish Toys","https://www.poundwholesale.co.uk/toys/slime-squish-toys","Viral social media potential, high perceived value in kits, strong demand."
6,1,"Toys","Kids Art, Craft & Music","https://www.poundwholesale.co.uk/toys/kids-art-craft-music","Excellent for creating high-value, unique bundles and kits with strong margins."
7,1,"Health & Beauty","First Aid & Medical Supplies","https://www.poundwholesale.co.uk/health-beauty/first-aid-medical-supplies","Evergreen demand, high bundling potential for kits, consumable nature."
8,1,"Health & Beauty","Plasters & Bandages","https://www.poundwholesale.co.uk/health-beauty/plasters-bandages","Low-cost, high-volume consumable, perfect for creating profitable multi-packs."
9,1,"Toys","DIY, Building & Construction (Toys)","https://www.poundwholesale.co.uk/toys/diy-building-construction","Less trend-dependent than other toys, good potential for 'project kits'."
10,1,"Stationery","Glue, Adhesives & Tape","https://www.poundwholesale.co.uk/stationery/glue-adhesives-tape","Essential consumable for craft and DIY bundles, stable B2B and B2C demand."
11,1,"Cleaning","Washing Up","https://www.poundwholesale.co.uk/cleaning/washing-up","High-frequency consumable, strong bundling potential with sponges and cloths."
12,1,"Cleaning","Air Fresheners & Deodorisers","https://www.poundwholesale.co.uk/cleaning/air-fresheners-deodorisers","High-volume consumable, strong potential for multi-packs and scent-themed bundles."
13,1,"Cleaning","Disinfectants","https://www.poundwholesale.co.uk/cleaning/disinfectants","Evergreen demand for hygiene, strong performance for multi-packs."
14,1,"Cleaning","Laundry Supplies","https://www.poundwholesale.co.uk/cleaning/laundry-supplies","Essential household consumable, requires bundling/multi-packs to be profitable."
15,1,"Cleaning","Toilet Cleaners","https://www.poundwholesale.co.uk/cleaning/toilet-cleaners","Staple household consumable, suitable for multi-packs."
16,1,"Kitchenware","Kitchen Rolls & Wipes","https://www.poundwholesale.co.uk/kitchenware/kitchen-rolls-wipes","High-volume, fast-moving consumable."
17,1,"Household","Toilet Rolls & Tissues","https://www.poundwholesale.co.uk/household/toilet-rolls-tissues","Essential high-volume consumable, requires bulk selling."
18,1,"Health & Beauty","Hand Wash & Sanitisers","https://www.poundwholesale.co.uk/health-beauty/hand-wash-sanitisers","Stable post-pandemic demand, ideal for multi-packs."
19,1,"Health & Beauty","Feminine Hygiene","https://www.poundwholesale.co.uk/health-beauty/feminine-hygiene","Essential, non-discretionary consumable with recurring purchase cycle."
20,1,"Baby","Baby Wipes","https://www.poundwholesale.co.uk/baby/baby-wipes","High-volume, essential consumable for a dedicated demographic."
21,2,"DIY","Fasteners & Assortments","https://www.poundwholesale.co.uk/diy/fasteners-assortments","Excellent low-competition niche for creating high-value curated kits."
22,2,"Garden","Pest Killers & Deterrents","https://www.poundwholesale.co.uk/garden/pest-killers-deterrents","Strong, problem-solving niche with recurring, less-seasonal demand."
23,2,"DIY","Dekton Tools / Marksman Tools","https://www.poundwholesale.co.uk/diy/dekton-tools-marksman-tools","Branded arbitrage opportunity with existing search demand."
24,2,"Pet Supplies","Pet Toys & Treats","https://www.poundwholesale.co.uk/pet-supplies/pet-toys-treats","High emotional-purchase value, strong potential for unique bundles."
25,2,"Homeware","Home Fragrances, Candles & Accessories","https://www.poundwholesale.co.uk/homeware/home-fragrances-candles-accessories","High gifting potential, consumable, ideal for curated gift sets."
26,2,"Stationery","Art & Crafts (Stationery)","https://www.poundwholesale.co.uk/stationery/art-crafts","High perceived value, excellent for creating unique themed kits."
27,2,"Toys","Branded Toys","https://www.poundwholesale.co.uk/toys/branded-toys","Tap into existing search demand, but risk of brand gating on Amazon."
28,2,"Toys","Pocket Money Toys","https://www.poundwholesale.co.uk/toys/pocket-money-toys","High volume, requires multi-packs or bundling to be viable."
29,2,"Health & Beauty","Toiletries","https://www.poundwholesale.co.uk/health-beauty/toiletries","High demand, but dominated by major brands; opportunity is in bundling."
30,2,"Pet Supplies","Pet Bowls","https://www.poundwholesale.co.uk/pet-supplies/pet-bowls","Evergreen product, opportunity to differentiate with bowl + mat bundles."
31,2,"Pet Supplies","Pet Walking & Grooming","https://www.poundwholesale.co.uk/pet-supplies/pet-walking-grooming","Problem-solving products with good margin potential."
32,2,"Garden","Garden Tools","https://www.poundwholesale.co.uk/garden/garden-tools","Seasonal demand, focus on smaller hand tools to manage FBA fees."
33,2,"DIY","Painting & Decorating","https://www.poundwholesale.co.uk/diy/painting-decorating","Seasonal high demand, opportunity in creating 'starter kits'."
34,2,"Health & Beauty","Hair Care","https://www.poundwholesale.co.uk/health-beauty/hair-care","High-demand consumable, requires bundling of known brands."
35,2,"Health & Beauty","Skin Care","https://www.poundwholesale.co.uk/health-beauty/skin-care","High-margin potential, but requires careful brand/ingredient selection."
36,2,"Pound Lines","Sweets & Confectionery","https://www.poundwholesale.co.uk/pound-lines/sweets-confectionery","High-volume, ideal for creating 'selection boxes' and gift hampers."
37,2,"Pound Lines","Crisps, Snacks & Nuts","https://www.poundwholesale.co.uk/pound-lines/crisps-snacks-nuts","High-demand consumable, best for variety packs."
38,2,"Pound Lines","Chocolates","https://www.poundwholesale.co.uk/pound-lines/chocolates","Very high demand, especially seasonally. Focus on gift bundles."
39,2,"Pound Lines","Drinks & Beverages","https://www.poundwholesale.co.uk/pound-lines/drinks-beverages","High volume, but heavy. Best for multi-packs of cans or sachets."
